Year,Annual Increase,Uncertainty
1959-11-01,0.96,0.31
1960-11-01,0.71,0.27
1961-11-01,0.78,0.27
1962-11-01,0.56,0.27
1963-11-01,0.57,0.28
1964-11-01,0.49,0.27
1965-11-01,1.10,0.26
1966-11-01,1.10,0.28
1967-11-01,0.61,0.34
1968-11-01,0.99,0.32
1969-11-01,1.32,0.29
1970-11-01,1.13,0.32
1971-11-01,0.73,0.30
1972-11-01,1.47,0.31
1973-11-01,1.46,0.31
1974-11-01,0.68,0.31
1975-11-01,1.23,0.27
1976-11-01,0.97,0.28
1977-11-01,1.92,0.29
1978-11-01,1.29,0.24
1979-11-01,2.14,0.26
1980-11-01,1.70,0.11
1981-11-01,1.15,0.07
1982-11-01,0.99,0.07
1983-11-01,1.85,0.09
1984-11-01,1.24,0.12
1985-11-01,1.62,0.10
1986-11-01,1.02,0.11
1987-11-01,2.70,0.10
1988-11-01,2.25,0.09
1989-11-01,1.38,0.11
1990-11-01,1.17,0.09
1991-11-01,0.74,0.09
1992-11-01,0.70,0.10
1993-11-01,1.23,0.07
1994-11-01,1.68,0.11
1995-11-01,1.95,0.11
1996-11-01,1.06,0.08
1997-11-01,1.97,0.08
1998-11-01,2.82,0.11
1999-11-01,1.37,0.08
2000-11-01,1.23,0.11
2001-11-01,1.82,0.09
2002-11-01,2.36,0.07
2003-11-01,2.29,0.09
2004-11-01,1.57,0.05
2005-11-01,2.43,0.08
2006-11-01,1.75,0.06
2007-11-01,2.09,0.07
2008-11-01,1.79,0.05
2009-11-01,1.61,0.06
2010-11-01,2.43,0.07
2011-11-01,1.70,0.08
2012-11-01,2.39,0.07
2013-11-01,2.41,0.08
2014-11-01,2.04,0.08
2015-11-01,2.94,0.07
2016-11-01,2.86,0.08
2017-11-01,2.14,0.09
