Year,Annual Increase,Uncertainty
1959,0.96,0.31
1960,0.71,0.27
1961,0.78,0.27
1962,0.56,0.27
1963,0.57,0.28
1964,0.49,0.27
1965,1.1,0.26
1966,1.1,0.28
1967,0.61,0.34
1968,0.99,0.32
1969,1.32,0.29
1970,1.13,0.32
1971,0.73,0.3
1972,1.47,0.31
1973,1.46,0.31
1974,0.68,0.31
1975,1.23,0.27
1976,0.97,0.28
1977,1.92,0.29
1978,1.29,0.24
1979,2.14,0.26
1980,1.7,0.11
1981,1.15,0.07
1982,0.99,0.07
1983,1.85,0.09
1984,1.24,0.12
1985,1.62,0.1
1986,1.02,0.11
1987,2.7,0.1
1988,2.25,0.09
1989,1.38,0.11
1990,1.17,0.09
1991,0.74,0.09
1992,0.7,0.1
1993,1.23,0.07
1994,1.68,0.11
1995,1.95,0.11
1996,1.06,0.08
1997,1.97,0.08
1998,2.82,0.11
1999,1.37,0.08
2000,1.23,0.11
2001,1.82,0.09
2002,2.36,0.07
2003,2.29,0.09
2004,1.57,0.05
2005,2.43,0.08
2006,1.75,0.06
2007,2.09,0.07
2008,1.79,0.05
2009,1.61,0.06
2010,2.43,0.07
2011,1.7,0.08
2012,2.39,0.07
2013,2.41,0.08
2014,2.04,0.08
2015,2.94,0.07
2016,2.86,0.08
2017,2.14,0.09
